0,262
1,263
2,263
3,262
4,261
5,260
6,259
7,258
8,257
9,256
10,255
11,254
12,254
13,253
14,252
15,251
16,251
17,250
18,250
19,251
20,252
21,252
22,251
23,250
24,250
25,249
26,248
27,247
28,247
29,247
30,246
31,245
32,245
33,244
34,243
35,242
36,242
37,243
38,244
39,245
40,246
41,246
42,246
43,247
44,248
45,247
46,246
47,245
48,246
49,246
50,245
51,246
52,245
53,244
54,245
55,246
56,246
57,246
58,246
59,245
60,244
61,243
62,242
63,243
64,244
65,243
66,242
67,241
68,240
69,239
70,238
71,237
72,238
73,238
74,239
75,240
76,241
77,242
78,243
79,243
80,243
81,242
82,243
83,242
84,243
85,244
86,244
87,244
88,243
89,242
90,243
91,243
92,242
93,243
94,244
95,245
96,245
97,244
98,243
99,244
100,245
101,245
102,244
103,244
104,243
105,242
106,241
107,240
108,240
109,239
110,240
111,239
112,240
113,241
114,240
115,240
116,241
117,242
118,243
119,244
120,245
121,246
122,245
123,244
124,243
125,242
126,242
127,243
128,242
129,241
130,240
131,239
132,239
133,240
134,240
135,239
136,238
137,237
138,236
139,237
140,238
141,237
142,237
143,236
144,235
145,236
146,237
147,238
148,239
149,238
150,239
151,240
152,241
153,241
154,242
155,243
156,243
157,242
158,241
159,242
160,243
161,243
162,242
163,243
164,244
165,245
166,246
167,246
168,245
169,244
170,245
171,244
172,245
173,246
174,246
175,245
176,244
177,245
178,246
179,245
180,246
181,246
182,246
183,246
184,247
185,246
186,246
187,247
188,248
189,249
190,250
191,251
192,251
193,252
194,251
195,252
196,253
197,254
198,255
199,256
200,257
201,257
202,256
203,256
204,256
205,257
206,258
207,257
208,258
209,259
210,260
211,260
212,259
213,258
214,257
215,258
216,259
217,259
218,258
219,257
220,257
221,256
222,257
223,257
224,258
225,259
226,260
227,261
228,262
229,263
230,264
231,265
232,265
233,266
234,267
235,268
236,269
237,270
238,269
239,268
240,267
241,266
242,265
243,264
244,263
245,262
246,261
247,260
248,259
249,260
250,259
251,260
252,260
253,261
254,260
255,261
256,261
257,262
258,263
259,264
260,265
261,266
262,267
263,268
264,269
265,269
266,268
267,267
268,267
269,266
270,265
271,264
272,263
273,262
274,261
275,260
276,261
277,260
278,259
279,258
280,257
281,256
282,255
283,255
284,254
